Tensão (kV),D1.1 - comprimento (mm) - interno,D1.2 - comprimento (mm) - externo,D2.1 - comprimento (mm) - interno,D2.2 - comprimento (mm) - externo,pessoa que mediu
3,"22,50","28,00","38,50","47,75",p
3,"25,65","28,00","38,80","46,60",f
3,"18,65","23,25","33,60","41,25",m
3,"23,50","29,00","39,80","47,00",g
"3,2","18,15","22,65","35,20","44,00",m
"3,2","23,20","25,50","35,90","42,00",p
"3,2","21,30","25,50","33,60","42,60",f
"3,2","23,10","22,45","41,35","46,35",g
"3,4","21,70","24,15","35,00","38,30",f
"3,4","21,00","28,30","34,35","45,50",m
"3,4","20,20","28,80","26,20","42,60",p
"3,4","23,70","26,25","40,25","46,85",g
"3,6","19,00","24,65","38,60","45,50",p
"3,6","20,75","25,00","35,50","42,00",f
"3,6","20,25","24,40","38,90","42,45",m
"3,6","23,30","26,10","37,50","42,70",g
"3,8","20,10","23,80","36,50","39,40",m
"3,8","18,90","25,40","34,80","42,95",p
"3,8","19,40","21,20","32,20","37,00",f
"3,8","20,85","24,60","39,85","42,50",g
4,"20,00","24,15","35,75","42,00",f
4,"22,60","23,00","35,40","39,10",m
4,"23,90","25,85","38,80","41,95",p
4,"22,00","23,55","37,70","41,75",g
"4,2","18,10","23,05","33,30","40,50",p
"4,2","16,00","20,50","33,20","40,00",f
"4,2","17,45","21,60","34,60","36,20",m
"4,2","20,05","23,75","35,00","39,50",g
"4,4","17,80","21,60","33,00","39,35",m
"4,4","18,00","21,85","35,35","37,75",p
"4,4","14,65","20,00","31,85","36,85",f
"4,4","20,00","22,00","35,10","38,10",g
"4,6","17,50","20,25","31,00","35,10",f
"4,6","17,90","21,50","34,65","38,10",m
"4,6","18,55","22,30","31,40","37,50",p
"4,6","20,25","21,80","33,60","38,15",g
"4,8","16,70","21,70","30,80","37,00",p
"4,8","16,60","18,70","29,60","36,10",f
"4,8","17,70","21,20","34,30","37,50",m
"4,8","18,30","21,25","34,00","37,50",g
5,"16,00","21,40","31,40","36,50",p
5,"13,55","19,00","30,50","35,30",f
5,"16,80","20,70","32,00","37,10",m
5,"16,85","20,75","34,20","36,65",g